INDX,wave,group,id,keep,obs_filter,dir_const,travel,Block Group,duration,speed,driveduration,stopduration,Telephone,Texting,Smoking,Belt,Pass,Agman,Agpassenger,Agother,total,begin_time1,end_time1,begin_time2,end_time2,begin_time3,end_time3,begin_time4,end_time4,begin_time5,end_time5,begin_time6,end_time6,begin_time7,end_time7,begin_time8,end_time8,begin_time9,end_time9,begin_time10,end_time10,begin_time11,end_time11,begin_time12,end_time12,arrival_time,e1,e2,e3,e4,e5,e6,e7,e8,e9,r1,r2,interviewer,startpoint,endpoint,starttime,endtime,travelcode,distance,direction
32,3rd wave - Anonimous,3rd wave - Former treatment,32,1,Keep,Same direction or one trip only,Zestaponi-Tbilisi,Zestaponi,155,76.05633545,142,13,2,0,0,0,4,4,0,0,10,10/12/2016 14:05,10/12/2016 14:35,10/12/2016 14:35,10/12/2016 15:05,10/12/2016 15:05,10/12/2016 15:35,10/12/2016 15:35,10/12/2016 16:05,10/12/2016 16:05,10/12/2016 16:35,10/12/2016 16:35,10/12/2016 16:40,,,,,,,,,,,,,10/12/2016 16:40,1,1,0,0,0,1,0,1,0,4,3,1818,Zestaponi,Tbilisi,10/12/2016 14:05,10/12/2016 16:40,TBS-Zestaponi / Zestaponi--TBS,180,To Tbilisi
33,3rd wave - Anonimous,3rd wave - Former treatment,33,1,Keep,Different directions,Tbilisi-Tsilkani,Saguramo,44,39,40,4,0,0,0,2,0,0,0,0,2,10/11/2016 12:28,10/11/2016 12:58,10/11/2016 12:58,10/11/2016 13:12,,,,,,,,,,,,,,,,,,,,,10/11/2016 13:12,1,1,1,1,1,1,0,1,0,4,2,1837,Tbilisi,Tsilkani,10/11/2016 12:28,10/11/2016 13:12,TBS-Tsilkani / Tsilkani--TBS,26,From Tbilisi
34,3rd wave - Anonimous,3rd wave - New or former control,13,0,Drop,Observation filtered out,Choporti-Tbilisi,Saguramo,27,66.92308044,26,1,1,0,0,1,2,0,0,0,4,10/19/2016 17:09,10/19/2016 17:36,,,,,,,,,,,,,,,,,,,,,,,10/19/2016 17:39,0,0,0,0,1,1,0,1,0,4,4,1836,Choporti,Tbilisi,10/19/2016 17:09,10/19/2016 17:36,TBS-Choporti / Choporti--TBS,29,To Tbilisi
35,3rd wave - Anonimous,3rd wave - New or former control,35,1,Keep,Same direction or one trip only,Tbilisi-Chokhatauri,Samtredia,259,67.4688797,241,18,3,0,12,0,9,0,0,0,24,10/18/2016 10:25,10/18/2016 10:55,10/18/2016 10:55,10/18/2016 11:25,10/18/2016 11:25,10/18/2016 11:55,10/18/2016 11:55,10/18/2016 12:25,10/18/2016 12:25,10/18/2016 12:55,10/18/2016 12:55,10/18/2016 13:25,10/18/2016 13:25,10/18/2016 13:55,10/18/2016 13:55,10/18/2016 14:25,10/18/2016 14:25,10/18/2016 14:44,,,,,,,10/18/2016 14:45,1,1,0,0,0,1,0,1,0,5,5,1841,Tbilisi,Chokhatauri,10/18/2016 10:25,10/18/2016 14:44,TBS-Chokhatauri / Chokhatauri--TBS,271,From Tbilisi
36,3rd wave - Anonimous,3rd wave - Former treatment,4,1,Keep,Same direction or one trip only,Tbilisi-Gudauri,Zhinvali,126,49.18032837,122,4,2,0,4,5,2,0,0,0,13,10/11/2016 9:50,10/11/2016 10:20,10/11/2016 10:20,10/11/2016 10:50,10/11/2016 10:50,10/11/2016 11:20,10/11/2016 11:20,10/11/2016 11:50,10/11/2016 11:50,10/11/2016 11:56,,,,,,,,,,,,,,,10/11/2016 12:04,0,0,0,0,0,0,0,0,0,3,3,1819,Tbilisi,Gudauri,10/11/2016 9:50,10/11/2016 11:56,TBS-Gudauri / Gudauri--TBS,100,From Tbilisi
37,3rd wave - Anonimous,3rd wave - New or former control,37,1,Keep,Same direction or one trip only,Tbilisi-Zestaponi,Zestaponi,152,78.83211517,137,15,3,0,0,0,1,0,0,0,4,10/19/2016 11:14,10/19/2016 11:44,10/19/2016 11:44,10/19/2016 12:14,10/19/2016 12:14,10/19/2016 12:44,10/19/2016 12:44,10/19/2016 13:14,10/19/2016 13:14,10/19/2016 13:44,10/19/2016 13:44,10/19/2016 13:46,,,,,,,,,,,,,10/19/2016 13:46,1,1,0,0,0,1,0,1,0,5,5,1828,Tbilisi,Zestaponi,10/19/2016 11:14,10/19/2016 13:46,TBS-Zestaponi / Zestaponi--TBS,180,From Tbilisi
38,3rd wave - Anonimous,3rd wave - New or former control,38,1,Keep,Same direction or one trip only,Tbilisi-Tianeti,Zhinvali,90,48.94736862,76,14,0,0,0,1,17,0,1,0,19,10/18/2016 12:12,10/18/2016 12:40,10/18/2016 12:42,10/18/2016 13:12,10/18/2016 13:12,10/18/2016 13:42,,,,,,,,,,,,,,,,,,,10/18/2016 13:43,0,0,0,1,1,-1,0,1,0,3,1,1836,Tbilisi,Tianeti,10/18/2016 12:12,10/18/2016 13:42,TBS-Tianeti / Tianeti--TBS,62,From Tbilisi
39,2nd wave - Non-anonimous,2nd wave - Treatment,39,1,Keep,Same direction or one trip only,Khashuri-Tbilisi,Khashuri,74,95,72,2,0,0,0,0,0,0,0,0,0,9/28/2016 13:40,9/28/2016 14:10,9/28/2016 14:10,9/28/2016 14:10,9/28/2016 14:40,9/28/2016 14:54,,,,,,,,,,,,,,,,,,,9/28/2016 14:54,1,1,0,0,0,1,0,1,0,5,5,1839,Khashuri,Tbilisi,9/28/2016 13:40,9/28/2016 14:54,TBS-Khashuri / Khashuri--TBS,114,To Tbilisi
40,3rd wave - Anonimous,3rd wave - Former treatment,40,1,Keep,Same direction or one trip only,Kutaisi-Tbilisi,Kutaisi,188,74.30232239,172,16,4,0,1,7,21,6,0,0,39,10/13/2016 15:26,10/13/2016 15:56,10/13/2016 15:56,10/13/2016 16:26,10/13/2016 16:26,10/13/2016 16:56,10/13/2016 16:56,10/13/2016 17:26,10/13/2016 17:26,10/13/2016 17:56,10/13/2016 17:56,10/13/2016 18:26,10/13/2016 18:26,10/13/2016 18:34,,,,,,,,,,,10/13/2016 18:34,0,1,0,0,0,1,0,1,0,4,4,1824,Kutaisi,Tbilisi,10/13/2016 15:26,10/13/2016 18:34,TBS-Kutaisi / Kutaisi--TBS,213,To Tbilisi
41,2nd wave - Non-anonimous,2nd wave - Treatment,41,1,Keep,Same direction or one trip only,Tbilisi-Aghaiani,Kaspi,47,34.46808624,47,0,1,0,0,0,0,0,0,0,1,9/28/2016 12:31,9/28/2016 12:48,9/28/2016 12:48,9/28/2016 13:18,,,,,,,,,,,,,,,,,,,,,9/28/2016 13:18,1,0,0,1,0,1,0,1,0,4,4,1851,Tbilisi,Aghaiani,9/28/2016 12:31,9/28/2016 13:18,TBS-Aghaiani / Aghaiani--TBS,27,From Tbilisi
